sub_id,Trial,RT,Resp,Error,Fix_onset,Disp_onset,block,tid,tloc,fish_setsize,bird_setsize
22,1,486.3809235,1,0,2280501.271,2280502.318,1,1,69,16,16
22,2,440.4797177,1,0,2280503.93,2280504.977,1,1,66,4,4
22,3,588.5545667,0,0,2280506.483,2280507.53,1,0,92,4,16
22,4,440.875073,0,0,2280509.318,2280510.366,1,0,76,8,0
22,5,444.0871873,1,0,2280511.93,2280512.977,1,1,76,4,4
22,6,1020.746003,0,0,2280514.624,2280515.672,1,0,90,16,8
22,7,722.7346343,0,0,2280517.872,2280518.919,1,0,81,16,16
22,8,380.2733636,1,0,2280520.813,2280521.86,1,1,67,0,8
22,9,656.7192194,0,0,2280523.436,2280524.484,1,0,72,4,0
22,10,696.2550948,0,0,2280526.166,2280527.213,1,0,98,0,16
22,11,405.8547891,1,0,2280529.107,2280530.154,1,1,76,0,16
22,12,468.3655202,1,0,2280531.684,2280532.731,1,1,84,4,16
22,13,388.3067286,0,0,2280534.237,2280535.284,1,0,61,0,16
22,14,377.3903912,0,0,2280536.849,2280537.896,1,0,63,4,4
22,15,632.1152095,1,0,2280539.437,2280540.484,1,1,80,16,4
22,16,515.8893354,0,0,2280542.225,2280543.272,1,0,81,16,0
22,17,513.2596674,1,0,2280544.896,2280545.943,1,1,89,0,4
22,18,427.7609927,0,0,2280547.625,2280548.672,1,0,65,8,8
22,19,428.7006822,0,0,2280550.178,2280551.226,1,0,68,4,4
22,20,360.1452946,0,0,2280552.708,2280553.755,1,0,74,0,0
22,21,430.5300168,1,0,2280555.19,2280556.237,1,1,74,16,4
22,22,636.1234225,1,0,2280557.873,2280558.92,1,1,94,4,4
22,23,522.8301818,0,0,2280560.708,2280561.755,1,0,81,0,16
22,24,590.7157375,0,0,2280563.355,2280564.402,1,0,92,8,4
22,25,574.4372783,0,0,2280566.049,2280567.097,1,0,62,16,8
22,26,518.1602207,1,0,2280568.697,2280569.744,1,1,78,16,16
22,27,555.2897053,1,0,2280571.403,2280572.45,1,1,96,0,8
22,28,502.0203469,0,0,2280574.203,2280575.25,1,0,84,8,16
22,29,634.9900975,0,0,2280576.956,2280578.003,1,0,79,16,16
22,30,551.4231571,0,0,2280579.732,2280580.779,1,0,100,4,0
22,31,630.6211757,0,0,2280582.391,2280583.438,1,0,81,16,4
22,32,393.149538,0,0,2280585.226,2280586.274,1,0,66,0,0
22,33,514.36566,0,0,2280587.685,2280588.732,1,0,97,8,16
22,34,495.1106831,1,0,2280590.38,2280591.427,1,1,70,0,0
22,35,397.9588547,0,0,2280593.038,2280594.086,1,0,64,0,4
22,36,498.5961192,1,0,2280595.568,2280596.615,1,1,62,4,0
22,37,470.3476839,1,0,2280598.215,2280599.262,1,1,72,8,8
22,38,521.6110107,0,0,2280600.933,2280601.98,1,0,76,8,0
22,39,515.2957258,0,0,2280603.615,2280604.662,1,0,86,0,4
22,40,392.8369493,0,0,2280606.309,2280607.357,1,0,73,4,16
22,41,392.9308797,1,0,2280608.957,2280610.004,1,1,75,0,0
22,42,680.3331091,1,0,2280611.439,2280612.486,1,1,96,8,16
22,43,540.0644988,0,0,2280614.286,2280615.333,1,0,97,16,0
22,44,605.9124563,0,0,2280617.074,2280618.122,1,0,97,16,0
22,45,563.6845487,1,0,2280619.816,2280620.863,1,1,91,0,16
22,46,498.5899599,1,0,2280622.475,2280623.522,1,1,68,4,0
22,47,474.6838845,1,0,2280625.075,2280626.122,1,1,88,16,8
22,48,549.8794639,0,0,2280627.651,2280628.698,1,0,92,8,16
22,49,472.5766084,0,0,2280630.393,2280631.44,1,0,71,8,0
22,50,750.4984043,1,0,2280632.934,2280633.981,1,1,100,16,8
22,51,531.2384991,1,0,2280635.887,2280636.934,1,1,87,0,8
22,52,592.4326633,1,0,2280638.499,2280639.546,1,1,81,8,0
22,53,574.617825,0,0,2280641.216,2280642.263,1,0,68,16,4
22,54,453.0282905,0,0,2280643.887,2280644.934,1,0,66,0,4
22,55,556.1135216,0,0,2280646.452,2280647.499,1,0,91,16,0
22,56,594.2238867,1,0,2280649.252,2280650.299,1,1,69,0,8
22,57,388.1111685,0,0,2280652.064,2280653.111,1,0,83,8,16
22,58,611.3265473,1,0,2280654.57,2280655.617,1,1,82,0,0
22,59,836.956786,0,0,2280657.358,2280658.405,1,0,99,8,8
22,60,515.1717681,1,0,2280660.276,2280661.323,1,1,89,0,4
22,61,687.3898287,1,0,2280662.993,2280664.041,1,1,68,8,0
22,62,524.8958822,1,0,2280665.77,2280666.817,1,1,69,4,16
22,63,430.4087539,1,0,2280668.5,2280669.547,1,1,65,0,8
22,64,631.0627256,1,0,2280671.088,2280672.135,1,1,100,4,8
22,65,405.7854963,1,0,2280673.876,2280674.923,1,1,97,8,4
22,66,641.3958482,0,0,2280676.476,2280677.523,1,0,81,4,8
22,67,514.9203893,1,0,2280679.206,2280680.253,1,1,94,4,8
22,68,515.2891814,1,0,2280681.876,2280682.923,1,1,65,4,16
22,69,556.9388778,0,0,2280684.465,2280685.512,1,0,71,4,8
22,70,539.0035468,1,0,2280687.171,2280688.218,1,1,62,8,8
22,71,457.8945818,1,0,2280689.771,2280690.818,1,1,63,8,8
