Ethnicity,Subject Number,Preferred Hand,Age,Gender,Color blind,First Language,Room,TrialNumber,background,turtles,tortoises,target_id,resp,hit,rt,ran,order,block,iti,fix_duration
White,11,Right,18,Female,Yes,English,D,1,1,0,4,0.0,0.0,1.0,1108.37,1.0,0.0,0.0,1.03531,0.80603
White,11,Right,18,Female,Yes,English,D,2,1,8,16,0.0,0.0,1.0,1059.04,1.0,1.0,0.0,1.13325,0.962462
White,11,Right,18,Female,Yes,English,D,3,0,4,0,180.0,1.0,1.0,963.394,1.0,2.0,0.0,1.13818,0.816971
White,11,Right,18,Female,Yes,English,D,4,1,4,4,0.0,0.0,1.0,646.681,1.0,3.0,0.0,1.19478,0.946058
White,11,Right,18,Female,Yes,English,D,5,1,4,8,0.0,0.0,1.0,723.751,1.0,4.0,0.0,1.18187,0.85047
White,11,Right,18,Female,Yes,English,D,6,1,8,4,180.0,1.0,1.0,1051.33,1.0,5.0,0.0,1.0823,0.815269
White,11,Right,18,Female,Yes,English,D,7,1,4,16,0.0,0.0,1.0,722.367,1.0,6.0,0.0,1.00607,0.997488
White,11,Right,18,Female,Yes,English,D,8,0,16,0,0.0,0.0,1.0,762.16,1.0,7.0,0.0,1.08766,0.947071
White,11,Right,18,Female,Yes,English,D,9,0,0,0,180.0,1.0,1.0,699.272,1.0,8.0,0.0,1.02364,0.884548
White,11,Right,18,Female,Yes,English,D,10,1,16,8,180.0,0.0,0.0,779.844,1.0,9.0,0.0,1.02332,0.831646
White,11,Right,18,Female,Yes,English,D,11,0,4,4,0.0,0.0,1.0,1478.01,1.0,10.0,0.0,1.14051,0.987549
White,11,Right,18,Female,Yes,English,D,12,0,16,8,180.0,1.0,1.0,1933.57,1.0,11.0,0.0,1.10004,0.931458
White,11,Right,18,Female,Yes,English,D,13,0,4,16,180.0,1.0,1.0,761.456,1.0,12.0,0.0,1.03455,0.845533
White,11,Right,18,Female,Yes,English,D,14,0,16,4,180.0,1.0,1.0,1314.43,1.0,13.0,0.0,1.01353,0.967147
White,11,Right,18,Female,Yes,English,D,15,0,4,8,0.0,0.0,1.0,856.079,1.0,14.0,0.0,1.16263,0.943571
